fecha,estado,casos
2020-04-05,BAJA CALIFORNIA,20
2020-04-06,BAJA CALIFORNIA,67
2020-04-07,BAJA CALIFORNIA,40
2020-04-08,BAJA CALIFORNIA,59
2020-04-09,BAJA CALIFORNIA,59
2020-04-10,BAJA CALIFORNIA,48
2020-04-11,BAJA CALIFORNIA,34
2020-04-12,BAJA CALIFORNIA,44
2020-04-13,BAJA CALIFORNIA,81
2020-04-14,BAJA CALIFORNIA,103
2020-04-15,BAJA CALIFORNIA,102
2020-04-16,BAJA CALIFORNIA,85
2020-04-17,BAJA CALIFORNIA,97
2020-04-18,BAJA CALIFORNIA,46
2020-04-19,BAJA CALIFORNIA,44
2020-04-20,BAJA CALIFORNIA,111
2020-04-21,BAJA CALIFORNIA,104
2020-04-22,BAJA CALIFORNIA,93
2020-04-23,BAJA CALIFORNIA,108
2020-04-24,BAJA CALIFORNIA,86
2020-04-25,BAJA CALIFORNIA,45
2020-04-26,BAJA CALIFORNIA,67
2020-04-27,BAJA CALIFORNIA,109
2020-04-28,BAJA CALIFORNIA,96
2020-04-29,BAJA CALIFORNIA,106
2020-04-30,BAJA CALIFORNIA,87
2020-05-01,BAJA CALIFORNIA,89
2020-05-02,BAJA CALIFORNIA,76
2020-05-03,BAJA CALIFORNIA,90
2020-05-04,BAJA CALIFORNIA,140
2020-05-05,BAJA CALIFORNIA,134
2020-05-06,BAJA CALIFORNIA,107
2020-05-07,BAJA CALIFORNIA,113
2020-05-08,BAJA CALIFORNIA,132
2020-05-09,BAJA CALIFORNIA,75
2020-05-10,BAJA CALIFORNIA,70
2020-05-11,BAJA CALIFORNIA,127
2020-05-12,BAJA CALIFORNIA,112
2020-05-13,BAJA CALIFORNIA,113
2020-05-14,BAJA CALIFORNIA,105
2020-05-15,BAJA CALIFORNIA,117
2020-05-16,BAJA CALIFORNIA,61
2020-05-17,BAJA CALIFORNIA,66
2020-05-18,BAJA CALIFORNIA,167
2020-05-19,BAJA CALIFORNIA,133
2020-05-20,BAJA CALIFORNIA,146
2020-05-21,BAJA CALIFORNIA,142
2020-05-22,BAJA CALIFORNIA,170
2020-05-23,BAJA CALIFORNIA,62
2020-05-24,BAJA CALIFORNIA,68
2020-05-25,BAJA CALIFORNIA,122
2020-05-26,BAJA CALIFORNIA,116
2020-05-27,BAJA CALIFORNIA,94
2020-05-28,BAJA CALIFORNIA,81
2020-05-29,BAJA CALIFORNIA,78
2020-05-30,BAJA CALIFORNIA,67
2020-05-31,BAJA CALIFORNIA,39
2020-06-01,BAJA CALIFORNIA,75
2020-06-02,BAJA CALIFORNIA,28
2020-06-03,BAJA CALIFORNIA,7
2020-06-04,BAJA CALIFORNIA,4
2020-02-28,BAJA CALIFORNIA SUR,0
2020-02-29,BAJA CALIFORNIA SUR,0
2020-03-01,BAJA CALIFORNIA SUR,0
2020-03-02,BAJA CALIFORNIA SUR,0
2020-03-03,BAJA CALIFORNIA SUR,0
2020-03-04,BAJA CALIFORNIA SUR,0
2020-03-05,BAJA CALIFORNIA SUR,0
2020-03-06,BAJA CALIFORNIA SUR,0
2020-03-07,BAJA CALIFORNIA SUR,0
2020-03-08,BAJA CALIFORNIA SUR,0
2020-03-09,BAJA CALIFORNIA SUR,0
2020-03-10,BAJA CALIFORNIA SUR,0
2020-03-11,BAJA CALIFORNIA SUR,0
2020-03-12,BAJA CALIFORNIA SUR,0
2020-03-13,BAJA CALIFORNIA SUR,0
2020-03-14,BAJA CALIFORNIA SUR,0
2020-03-15,BAJA CALIFORNIA SUR,0
2020-03-16,BAJA CALIFORNIA SUR,0
2020-03-17,BAJA CALIFORNIA SUR,0
2020-03-18,BAJA CALIFORNIA SUR,1
2020-03-19,BAJA CALIFORNIA SUR,0
2020-03-20,BAJA CALIFORNIA SUR,1
2020-03-21,BAJA CALIFORNIA SUR,1
2020-03-22,BAJA CALIFORNIA SUR,0
2020-03-23,BAJA CALIFORNIA SUR,4
2020-03-24,BAJA CALIFORNIA SUR,2
2020-03-25,BAJA CALIFORNIA SUR,0
2020-03-26,BAJA CALIFORNIA SUR,2
2020-03-27,BAJA CALIFORNIA SUR,4
2020-03-28,BAJA CALIFORNIA SUR,4
2020-03-29,BAJA CALIFORNIA SUR,1
2020-03-30,BAJA CALIFORNIA SUR,13
2020-03-31,BAJA CALIFORNIA SUR,7
2020-04-01,BAJA CALIFORNIA SUR,5
2020-04-02,BAJA CALIFORNIA SUR,11
2020-04-03,BAJA CALIFORNIA SUR,16
2020-04-04,BAJA CALIFORNIA SUR,6
2020-04-05,BAJA CALIFORNIA SUR,5
2020-04-06,BAJA CALIFORNIA SUR,23
2020-04-07,BAJA CALIFORNIA SUR,24
2020-04-08,BAJA CALIFORNIA SUR,24
2020-04-09,BAJA CALIFORNIA SUR,25
2020-04-10,BAJA CALIFORNIA SUR,9
2020-04-11,BAJA CALIFORNIA SUR,7
2020-04-12,BAJA CALIFORNIA SUR,5
2020-04-13,BAJA CALIFORNIA SUR,14
2020-04-14,BAJA CALIFORNIA SUR,17
2020-04-15,BAJA CALIFORNIA SUR,5
2020-04-16,BAJA CALIFORNIA SUR,9
2020-04-17,BAJA CALIFORNIA SUR,6
2020-04-18,BAJA CALIFORNIA SUR,4
2020-04-19,BAJA CALIFORNIA SUR,8
2020-04-20,BAJA CALIFORNIA SUR,7
2020-04-21,BAJA CALIFORNIA SUR,12
2020-04-22,BAJA CALIFORNIA SUR,4
2020-04-23,BAJA CALIFORNIA SUR,9
2020-04-24,BAJA CALIFORNIA SUR,13
2020-04-25,BAJA CALIFORNIA SUR,5
2020-04-26,BAJA CALIFORNIA SUR,7
2020-04-27,BAJA CALIFORNIA SUR,10
2020-04-28,BAJA CALIFORNIA SUR,4
2020-04-29,BAJA CALIFORNIA SUR,4
2020-04-30,BAJA CALIFORNIA SUR,14
2020-05-01,BAJA CALIFORNIA SUR,2
2020-05-02,BAJA CALIFORNIA SUR,9
2020-05-03,BAJA CALIFORNIA SUR,7
2020-05-04,BAJA CALIFORNIA SUR,7
2020-05-05,BAJA CALIFORNIA SUR,12
2020-05-06,BAJA CALIFORNIA SUR,10
2020-05-07,BAJA CALIFORNIA SUR,11
2020-05-08,BAJA CALIFORNIA SUR,8
2020-05-09,BAJA CALIFORNIA SUR,6
2020-05-10,BAJA CALIFORNIA SUR,9
2020-05-11,BAJA CALIFORNIA SUR,6
2020-05-12,BAJA CALIFORNIA SUR,16
2020-05-13,BAJA CALIFORNIA SUR,13
2020-05-14,BAJA CALIFORNIA SUR,8
2020-05-15,BAJA CALIFORNIA SUR,5
2020-05-16,BAJA CALIFORNIA SUR,11
2020-05-17,BAJA CALIFORNIA SUR,3
2020-05-18,BAJA CALIFORNIA SUR,11
2020-05-19,BAJA CALIFORNIA SUR,14
2020-05-20,BAJA CALIFORNIA SUR,17
2020-05-21,BAJA CALIFORNIA SUR,7
2020-05-22,BAJA CALIFORNIA SUR,14
2020-05-23,BAJA CALIFORNIA SUR,7
2020-05-24,BAJA CALIFORNIA SUR,9
2020-05-25,BAJA CALIFORNIA SUR,17
2020-05-26,BAJA CALIFORNIA SUR,13
2020-05-27,BAJA CALIFORNIA SUR,21
2020-05-28,BAJA CALIFORNIA SUR,16
2020-05-29,BAJA CALIFORNIA SUR,18
2020-05-30,BAJA CALIFORNIA SUR,13
2020-05-31,BAJA CALIFORNIA SUR,8
2020-06-01,BAJA CALIFORNIA SUR,23
2020-06-02,BAJA CALIFORNIA SUR,6
2020-06-03,BAJA CALIFORNIA SUR,5
2020-06-04,BAJA CALIFORNIA SUR,0
2020-02-28,CAMPECHE,0
2020-02-29,CAMPECHE,0
2020-03-01,CAMPECHE,0
2020-03-02,CAMPECHE,0
2020-03-03,CAMPECHE,0
2020-03-04,CAMPECHE,0
2020-03-05,CAMPECHE,0
2020-03-06,CAMPECHE,0
2020-03-07,CAMPECHE,0
2020-03-08,CAMPECHE,1
2020-03-09,CAMPECHE,0
2020-03-10,CAMPECHE,0
2020-03-11,CAMPECHE,0
2020-03-12,CAMPECHE,1
2020-03-13,CAMPECHE,0
2020-03-14,CAMPECHE,1
2020-03-15,CAMPECHE,0
2020-03-16,CAMPECHE,0
2020-03-17,CAMPECHE,0
2020-03-18,CAMPECHE,0
2020-03-19,CAMPECHE,0
2020-03-20,CAMPECHE,0
2020-03-21,CAMPECHE,0
2020-03-22,CAMPECHE,0
2020-03-23,CAMPECHE,1
2020-03-24,CAMPECHE,0
2020-03-25,CAMPECHE,0
2020-03-26,CAMPECHE,1
2020-03-27,CAMPECHE,3
2020-03-28,CAMPECHE,0
2020-03-29,CAMPECHE,1
2020-03-30,CAMPECHE,0
2020-03-31,CAMPECHE,0
2020-04-01,CAMPECHE,0
2020-04-02,CAMPECHE,2
2020-04-03,CAMPECHE,1
2020-04-04,CAMPECHE,0
2020-04-05,CAMPECHE,3
2020-04-06,CAMPECHE,2
2020-04-07,CAMPECHE,0
2020-04-08,CAMPECHE,0
2020-04-09,CAMPECHE,2
2020-04-10,CAMPECHE,1
2020-04-11,CAMPECHE,5
2020-04-12,CAMPECHE,2
2020-04-13,CAMPECHE,2
2020-04-14,CAMPECHE,4
2020-04-15,CAMPECHE,3
2020-04-16,CAMPECHE,4
2020-04-17,CAMPECHE,3
2020-04-18,CAMPECHE,6
2020-04-19,CAMPECHE,2
2020-04-20,CAMPECHE,5
2020-04-21,CAMPECHE,7
2020-04-22,CAMPECHE,6
2020-04-23,CAMPECHE,7
2020-04-24,CAMPECHE,5
2020-04-25,CAMPECHE,6
2020-04-26,CAMPECHE,8
2020-04-27,CAMPECHE,4
2020-04-28,CAMPECHE,6
2020-04-29,CAMPECHE,8
2020-04-30,CAMPECHE,8
2020-05-01,CAMPECHE,6
2020-05-02,CAMPECHE,11
2020-05-03,CAMPECHE,12
2020-05-04,CAMPECHE,18
2020-05-05,CAMPECHE,9
2020-05-06,CAMPECHE,15
2020-05-07,CAMPECHE,11
2020-05-08,CAMPECHE,14
2020-05-09,CAMPECHE,13
2020-05-10,CAMPECHE,7
2020-05-11,CAMPECHE,24
2020-05-12,CAMPECHE,20
2020-05-13,CAMPECHE,16
2020-05-14,CAMPECHE,12
2020-05-15,CAMPECHE,14
2020-05-16,CAMPECHE,15
2020-05-17,CAMPECHE,17
2020-05-18,CAMPECHE,16
2020-05-19,CAMPECHE,21
2020-05-20,CAMPECHE,24
2020-05-21,CAMPECHE,16
2020-05-22,CAMPECHE,24
2020-05-23,CAMPECHE,16
2020-05-24,CAMPECHE,15
2020-05-25,CAMPECHE,34
2020-05-26,CAMPECHE,33
2020-05-27,CAMPECHE,27
2020-05-28,CAMPECHE,24
2020-05-29,CAMPECHE,17
2020-05-30,CAMPECHE,17
2020-05-31,CAMPECHE,5
2020-06-01,CAMPECHE,31
2020-06-02,CAMPECHE,4
2020-06-03,CAMPECHE,0
2020-06-04,CAMPECHE,0
2020-02-28,CHIAPAS,0
2020-02-29,CHIAPAS,1
2020-03-01,CHIAPAS,0
2020-03-02,CHIAPAS,0
2020-03-03,CHIAPAS,0
2020-03-04,CHIAPAS,0
2020-03-05,CHIAPAS,0
2020-03-06,CHIAPAS,0
2020-03-07,CHIAPAS,0
2020-03-08,CHIAPAS,0
2020-03-09,CHIAPAS,0
2020-03-10,CHIAPAS,0
2020-03-11,CHIAPAS,0
2020-03-12,CHIAPAS,0
2020-03-13,CHIAPAS,0
2020-03-14,CHIAPAS,0
2020-03-15,CHIAPAS,0
2020-03-16,CHIAPAS,0
2020-03-17,CHIAPAS,0
2020-03-18,CHIAPAS,1
2020-03-19,CHIAPAS,0
2020-03-20,CHIAPAS,0
2020-03-21,CHIAPAS,0
2020-03-22,CHIAPAS,0
2020-03-23,CHIAPAS,3
2020-03-24,CHIAPAS,0
2020-03-25,CHIAPAS,2
2020-03-26,CHIAPAS,0
2020-03-27,CHIAPAS,5
2020-03-28,CHIAPAS,1
2020-03-29,CHIAPAS,0
2020-03-30,CHIAPAS,2
2020-03-31,CHIAPAS,2
2020-04-01,CHIAPAS,4
2020-04-02,CHIAPAS,2
2020-04-03,CHIAPAS,5
2020-04-04,CHIAPAS,1
2020-04-05,CHIAPAS,1
2020-04-06,CHIAPAS,5
2020-04-07,CHIAPAS,2
2020-04-08,CHIAPAS,5
2020-04-09,CHIAPAS,3
2020-04-10,CHIAPAS,3
2020-04-11,CHIAPAS,1
2020-04-12,CHIAPAS,0
2020-04-13,CHIAPAS,5
2020-04-14,CHIAPAS,5
2020-04-15,CHIAPAS,6
2020-04-16,CHIAPAS,3
2020-04-17,CHIAPAS,10
2020-04-18,CHIAPAS,4
2020-04-19,CHIAPAS,7
2020-04-20,CHIAPAS,9
2020-04-21,CHIAPAS,9
2020-04-22,CHIAPAS,11
2020-04-23,CHIAPAS,15
2020-04-24,CHIAPAS,13
2020-04-25,CHIAPAS,9
2020-04-26,CHIAPAS,12
2020-04-27,CHIAPAS,21
2020-04-28,CHIAPAS,9
2020-04-29,CHIAPAS,18
2020-04-30,CHIAPAS,14
2020-05-01,CHIAPAS,18
2020-05-02,CHIAPAS,10
2020-05-03,CHIAPAS,14
2020-05-04,CHIAPAS,31
2020-05-05,CHIAPAS,27
2020-05-06,CHIAPAS,35
2020-05-07,CHIAPAS,34
2020-05-08,CHIAPAS,35
2020-05-09,CHIAPAS,22
2020-05-10,CHIAPAS,21
2020-05-11,CHIAPAS,33
2020-05-12,CHIAPAS,46
2020-05-13,CHIAPAS,67
2020-05-14,CHIAPAS,67
2020-05-15,CHIAPAS,81
2020-05-16,CHIAPAS,39
2020-05-17,CHIAPAS,35
2020-05-18,CHIAPAS,92
2020-05-19,CHIAPAS,64
2020-05-20,CHIAPAS,75
2020-05-21,CHIAPAS,104
2020-05-22,CHIAPAS,99
2020-05-23,CHIAPAS,51
2020-05-24,CHIAPAS,51
2020-05-25,CHIAPAS,138
2020-05-26,CHIAPAS,124
2020-05-27,CHIAPAS,110
2020-05-28,CHIAPAS,111
2020-05-29,CHIAPAS,110
2020-05-30,CHIAPAS,57
2020-05-31,CHIAPAS,47
2020-06-01,CHIAPAS,68
2020-06-02,CHIAPAS,13
2020-06-03,CHIAPAS,0
2020-06-04,CHIAPAS,0
2020-02-28,CHIHUAHUA,0
2020-02-29,CHIHUAHUA,0
2020-03-01,CHIHUAHUA,0
2020-03-02,CHIHUAHUA,0
2020-03-03,CHIHUAHUA,0
2020-03-04,CHIHUAHUA,0
2020-03-05,CHIHUAHUA,0
2020-03-06,CHIHUAHUA,0
2020-03-07,CHIHUAHUA,0
2020-03-08,CHIHUAHUA,0
2020-03-09,CHIHUAHUA,0
2020-03-10,CHIHUAHUA,0
2020-03-11,CHIHUAHUA,0
2020-03-12,CHIHUAHUA,0
2020-03-13,CHIHUAHUA,1
2020-03-14,CHIHUAHUA,1
2020-03-15,CHIHUAHUA,0
2020-03-16,CHIHUAHUA,0
2020-03-17,CHIHUAHUA,0
2020-03-18,CHIHUAHUA,1
2020-03-19,CHIHUAHUA,1
2020-03-20,CHIHUAHUA,3
2020-03-21,CHIHUAHUA,1
2020-03-22,CHIHUAHUA,1
2020-03-23,CHIHUAHUA,0
2020-03-24,CHIHUAHUA,1
2020-03-25,CHIHUAHUA,2
2020-03-26,CHIHUAHUA,2
2020-03-27,CHIHUAHUA,2
2020-03-28,CHIHUAHUA,2
2020-03-29,CHIHUAHUA,5
2020-03-30,CHIHUAHUA,3
2020-03-31,CHIHUAHUA,5
2020-04-01,CHIHUAHUA,7
2020-04-02,CHIHUAHUA,6
2020-04-03,CHIHUAHUA,5
2020-04-04,CHIHUAHUA,9
2020-04-05,CHIHUAHUA,12
2020-04-06,CHIHUAHUA,10
2020-04-07,CHIHUAHUA,7
2020-04-08,CHIHUAHUA,10
2020-04-09,CHIHUAHUA,7
2020-04-10,CHIHUAHUA,12
2020-04-11,CHIHUAHUA,12
2020-04-12,CHIHUAHUA,9
2020-04-13,CHIHUAHUA,17
2020-04-14,CHIHUAHUA,12
2020-04-15,CHIHUAHUA,17
2020-04-16,CHIHUAHUA,24
2020-04-17,CHIHUAHUA,16
2020-04-18,CHIHUAHUA,15
2020-04-19,CHIHUAHUA,16
2020-04-20,CHIHUAHUA,32
2020-04-21,CHIHUAHUA,26
2020-04-22,CHIHUAHUA,31
2020-04-23,CHIHUAHUA,48
2020-04-24,CHIHUAHUA,38
2020-04-25,CHIHUAHUA,26
2020-04-26,CHIHUAHUA,21
2020-04-27,CHIHUAHUA,50
2020-04-28,CHIHUAHUA,51
2020-04-29,CHIHUAHUA,57
2020-04-30,CHIHUAHUA,56
2020-05-01,CHIHUAHUA,38
2020-05-02,CHIHUAHUA,40
2020-05-03,CHIHUAHUA,25
2020-05-04,CHIHUAHUA,48
2020-05-05,CHIHUAHUA,57
2020-05-06,CHIHUAHUA,44
2020-05-07,CHIHUAHUA,34
2020-05-08,CHIHUAHUA,41
2020-05-09,CHIHUAHUA,31
2020-05-10,CHIHUAHUA,25
2020-05-11,CHIHUAHUA,58
2020-05-12,CHIHUAHUA,31
2020-05-13,CHIHUAHUA,60
2020-05-14,CHIHUAHUA,50
2020-05-15,CHIHUAHUA,42
2020-05-16,CHIHUAHUA,37
2020-05-17,CHIHUAHUA,26
2020-05-18,CHIHUAHUA,55
2020-05-19,CHIHUAHUA,44
2020-05-20,CHIHUAHUA,38
2020-05-21,CHIHUAHUA,38
2020-05-22,CHIHUAHUA,44
2020-05-23,CHIHUAHUA,21
2020-05-24,CHIHUAHUA,23
2020-05-25,CHIHUAHUA,39
2020-05-26,CHIHUAHUA,27
2020-05-27,CHIHUAHUA,23
2020-05-28,CHIHUAHUA,11
2020-05-29,CHIHUAHUA,22
2020-05-30,CHIHUAHUA,5
2020-05-31,CHIHUAHUA,4
2020-06-01,CHIHUAHUA,0
2020-06-02,CHIHUAHUA,0
2020-06-03,CHIHUAHUA,0
2020-06-04,CHIHUAHUA,0
2020-02-28,DISTRITO FEDERAL,0
2020-02-29,DISTRITO FEDERAL,0
2020-03-01,DISTRITO FEDERAL,0
2020-03-02,DISTRITO FEDERAL,1
2020-03-03,DISTRITO FEDERAL,0
2020-03-04,DISTRITO FEDERAL,0
2020-03-05,DISTRITO FEDERAL,1
2020-03-06,DISTRITO FEDERAL,0
2020-03-07,DISTRITO FEDERAL,1
2020-03-08,DISTRITO FEDERAL,1
2020-03-09,DISTRITO FEDERAL,0
2020-03-10,DISTRITO FEDERAL,3
2020-03-11,DISTRITO FEDERAL,12
2020-03-12,DISTRITO FEDERAL,17
2020-03-13,DISTRITO FEDERAL,24
2020-03-14,DISTRITO FEDERAL,21
2020-03-15,DISTRITO FEDERAL,10
2020-03-16,DISTRITO FEDERAL,26
2020-03-17,DISTRITO FEDERAL,34
2020-03-18,DISTRITO FEDERAL,31
2020-03-19,DISTRITO FEDERAL,39
2020-03-20,DISTRITO FEDERAL,24
2020-03-21,DISTRITO FEDERAL,12
2020-03-22,DISTRITO FEDERAL,11
2020-03-23,DISTRITO FEDERAL,25
2020-03-24,DISTRITO FEDERAL,34
2020-03-25,DISTRITO FEDERAL,25
2020-03-26,DISTRITO FEDERAL,51
2020-03-27,DISTRITO FEDERAL,39
2020-03-28,DISTRITO FEDERAL,49
2020-03-29,DISTRITO FEDERAL,35
2020-03-30,DISTRITO FEDERAL,77
2020-03-31,DISTRITO FEDERAL,51
2020-04-01,DISTRITO FEDERAL,55
2020-04-02,DISTRITO FEDERAL,71
2020-04-03,DISTRITO FEDERAL,79
2020-04-04,DISTRITO FEDERAL,56
2020-04-05,DISTRITO FEDERAL,54
2020-04-06,DISTRITO FEDERAL,117
2020-04-07,DISTRITO FEDERAL,127
2020-04-08,DISTRITO FEDERAL,125
2020-04-09,DISTRITO FEDERAL,127
2020-04-10,DISTRITO FEDERAL,147
2020-04-11,DISTRITO FEDERAL,112
2020-04-12,DISTRITO FEDERAL,115
2020-04-13,DISTRITO FEDERAL,267
2020-04-14,DISTRITO FEDERAL,246
2020-04-15,DISTRITO FEDERAL,225
2020-04-16,DISTRITO FEDERAL,248
2020-04-17,DISTRITO FEDERAL,327
2020-04-18,DISTRITO FEDERAL,198
2020-04-19,DISTRITO FEDERAL,186
2020-04-20,DISTRITO FEDERAL,439
2020-04-21,DISTRITO FEDERAL,429
2020-04-22,DISTRITO FEDERAL,398
2020-04-23,DISTRITO FEDERAL,342
2020-04-24,DISTRITO FEDERAL,503
2020-04-25,DISTRITO FEDERAL,243
2020-04-26,DISTRITO FEDERAL,221
2020-04-27,DISTRITO FEDERAL,477
2020-04-28,DISTRITO FEDERAL,533
2020-04-29,DISTRITO FEDERAL,561
2020-04-30,DISTRITO FEDERAL,512
2020-05-01,DISTRITO FEDERAL,322
2020-05-02,DISTRITO FEDERAL,321
2020-05-03,DISTRITO FEDERAL,285
2020-05-04,DISTRITO FEDERAL,701
2020-05-05,DISTRITO FEDERAL,575
2020-05-06,DISTRITO FEDERAL,672
2020-05-07,DISTRITO FEDERAL,673
2020-05-08,DISTRITO FEDERAL,769
2020-05-09,DISTRITO FEDERAL,379
2020-05-10,DISTRITO FEDERAL,329
2020-05-11,DISTRITO FEDERAL,753
2020-05-12,DISTRITO FEDERAL,770
2020-05-13,DISTRITO FEDERAL,847
2020-05-14,DISTRITO FEDERAL,739
2020-05-15,DISTRITO FEDERAL,833
2020-05-16,DISTRITO FEDERAL,486
2020-05-17,DISTRITO FEDERAL,341
2020-05-18,DISTRITO FEDERAL,935
2020-05-19,DISTRITO FEDERAL,915
2020-05-20,DISTRITO FEDERAL,911
2020-05-21,DISTRITO FEDERAL,881
2020-05-22,DISTRITO FEDERAL,779
2020-05-23,DISTRITO FEDERAL,372
2020-05-24,DISTRITO FEDERAL,282
2020-05-25,DISTRITO FEDERAL,896
2020-05-26,DISTRITO FEDERAL,766
2020-05-27,DISTRITO FEDERAL,841
2020-05-28,DISTRITO FEDERAL,686
2020-05-29,DISTRITO FEDERAL,706
2020-05-30,DISTRITO FEDERAL,330
2020-05-31,DISTRITO FEDERAL,210
2020-06-01,DISTRITO FEDERAL,599
2020-06-02,DISTRITO FEDERAL,233
2020-06-03,DISTRITO FEDERAL,55
2020-06-04,DISTRITO FEDERAL,0
2020-02-28,COAHUILA,1
2020-02-29,COAHUILA,0
2020-03-01,COAHUILA,0
